상품명,수량,상품금액,날짜,시간,판매자,
plant,10,300,2025-1-2,10:31,mymelo,
gollem,9,3000,2025-2-8,11:49,legend,
mushrom,9,3200,2020-12-15,04:25,mymelo,
party table,5,1000,2020-7-2,13:59,legend,
water,7,480,2025-5-31,15:47,anohana,
party table,9,1000,2025-4-12,09:42,legend,
dinner,4,500,2024-1-30,17:32,anohana,
party table,3,1000,2025-5-12,16:19,anohana,
mushrom,7,3200,2024-12-11,23:36,legend,
mushrom,6,3200,2020-12-30,07:27,anohana,
party table,5,1000,2025-7-12,01:37,legend,
plant,3,300,2020-12-16,05:17,legend,
jelly,5,400,2020-4-30,18:04,mymelo,
plant,5,300,2025-12-28,09:15,mymelo,
party table,2,1000,2022-7-12,00:47,anohana,
history,2,5000,2024-1-10,05:21,legend,
plant,10,300,2025-7-21,06:41,anohana,
party table,4,1000,2020-9-23,15:09,legend,
plant,7,300,2022-1-12,08:14,mymelo,
courage,10,3000,2025-12-12,20:06,mymelo,
mushrom,1,3200,2025-1-28,17:22,anohana,
jelly,5,400,2022-1-24,07:05,mymelo,
mushrom,9,3200,2025-10-2,21:31,legend,
mushrom,4,3200,2025-1-12,09:51,legend,
mushrom,7,3200,2025-11-23,10:53,mymelo,
gollem,2,3000,2024-5-15,18:57,legend,
party table,7,1000,2025-7-8,13:21,legend,
mushrom,1,3200,2020-12-12,09:23,anohana,
mushrom,1,3200,2024-12-13,08:42,kuromi,
party table,2,1000,2025-6-11,11:19,legend,
courage,2,3000,2025-11-23,02:37,kuromi,
gollem,1,3000,2023-1-8,23:47,legend,
mushrom,6,3200,2023-1-12,07:41,legend,
mushrom,10,3200,2020-1-28,22:05,anohana,
water,2,480,2025-5-3,06:05,mymelo,
mushrom,6,3200,2024-12-12,13:57,legend,
mushrom,9,3200,2022-1-24,20:48,legend,
party table,4,1000,2022-7-16,12:17,kuromi,
plant,5,300,2025-7-24,05:11,legend,
courage,8,3000,2020-9-2,18:06,admin,
jelly,2,400,2024-12-9,07:43,anohana,
mushrom,2,3200,2025-10-29,18:19,legend,
mushrom,4,3200,2023-1-5,14:18,legend,
mushrom,3,3200,2025-1-12,05:44,mymelo,
history,3,5000,2020-1-22,22:19,legend,
gollem,1,3000,2020-8-12,08:19,anohana,
mushrom,3,3200,2025-9-1,09:13,legend,
mushrom,8,3200,2025-1-9,06:51,mymelo,
mushrom,1,3200,2020-1-14,02:22,legend,
history,3,5000,2025-12-25,20:53,mymelo,
mushrom,7,3200,2024-11-12,09:32,anohana,
gollem's sweat,8,1500,2020-1-14,13:32,mymelo,
party table,6,1000,2022-7-17,04:26,kuromi,
