상품명,수량,상품금액,날짜,시간,판매자,
jelly,2,400,2024-1-12,01:20,admin,
mushrom,1,3200,2024-1-2,14:37,kuromi,
party table,4,1000,2025-7-6,04:49,admin,
courage,2,3000,2020-1-17,18:28,anohana,
dinner,3,500,2020-10-12,02:09,mymelo,
jelly,2,400,2025-10-5,19:58,legend,
water,8,480,2020-1-29,08:12,legend,
party table,6,1000,2024-7-13,07:03,legend,
mushrom,10,3200,2024-12-2,23:31,kuromi,
water,9,480,2020-7-13,05:02,admin,
jelly,7,400,2024-1-12,21:39,legend,
mushrom,4,3200,2025-4-10,21:24,admin,
jelly,7,400,2022-1-12,10:18,legend,
mushrom,8,3200,2020-1-2,03:36,mymelo,
mushrom,4,3200,2020-1-1,16:23,legend,
plant,3,300,2025-7-22,19:07,legend,
party table,5,1000,2023-8-5,13:11,anohana,
mushrom,1,3200,2023-1-2,22:30,mymelo,
history,2,5000,2020-7-5,17:33,legend,
party table,6,1000,2025-8-11,08:12,legend,
water,10,480,2022-12-18,04:35,anohana,
mushrom,3,3200,2024-4-17,04:47,kuromi,
mushrom,1,3200,2022-12-21,20:24,legend,
mushrom,1,3200,2025-12-6,03:43,anohana,
sord,5,4000,2022-1-27,11:08,legend,
mushrom,10,3200,2023-9-14,06:11,legend,
sord,9,4000,2025-1-31,18:58,legend,
mushrom,10,3200,2025-12-13,09:07,mymelo,
mushrom,2,3200,2022-1-26,08:57,mymelo,
mushrom,9,3200,2025-12-4,12:46,mymelo,
mushrom,5,3200,2022-12-12,14:37,legend,
mushrom,3,3200,2025-11-2,09:10,legend,
mushrom,8,3200,2020-1-26,08:09,kuromi,
gollem,10,3000,2025-11-10,11:32,anohana,
mushrom,3,3200,2025-2-26,21:04,legend,
mushrom,1,3200,2024-11-12,08:58,kuromi,
history,3,5000,2025-7-18,02:13,legend,
water,8,480,2020-7-18,09:22,legend,
mushrom,5,3200,2025-1-2,22:26,legend,
mushrom,1,3200,2020-1-12,11:29,anohana,
sord,7,4000,2020-12-6,14:29,mymelo,
jelly,2,400,2025-9-2,03:48,legend,
history,5,5000,2025-1-3,21:33,mymelo,
mushrom,5,3200,2020-1-17,00:59,legend,
mushrom,2,3200,2024-12-16,05:41,legend,
gollem,2,3000,2024-12-2,20:59,legend,
water,1,480,2025-10-28,13:52,legend,
mushrom,8,3200,2022-8-16,00:27,anohana,
jelly,6,400,2025-1-8,10:57,anohana,
mushrom,10,3200,2024-1-27,17:31,legend,
party table,4,1000,2022-5-10,01:35,legend,
mushrom,9,3200,2020-12-2,10:55,anohana,
history,6,5000,2024-1-14,22:57,anohana,
gollem's sweat,9,1500,2025-9-20,00:28,anohana,
jelly,8,400,2023-5-4,00:15,legend,
sord,7,4000,2023-3-6,04:49,legend,
gollem's sweat,1,1500,2020-1-28,06:04,anohana,
dinner,7,500,2022-1-30,15:06,legend,
mushrom,8,3200,2023-12-4,02:57,legend,
mushrom,7,3200,2025-1-14,13:41,legend,
sord,6,4000,2024-5-18,03:33,anohana,
courage,3,3000,2022-4-30,16:38,legend,
party table,1,1000,2025-7-2,03:28,legend,
mushrom,9,3200,2025-12-28,23:11,mymelo,
sord,4,4000,2025-1-31,11:19,anohana,
water,7,480,2022-8-29,08:18,anohana,
gollem,8,3000,2025-12-15,05:53,legend,
mushrom,3,3200,2021-11-27,08:06,mymelo,
party table,5,1000,2025-6-24,02:51,legend,
mushrom,9,3200,2024-12-12,14:43,legend,
courage,5,3000,2025-1-15,23:27,admin,
courage,2,3000,2020-4-5,13:40,admin,
courage,3,3000,2025-6-26,09:29,legend,
dinner,9,500,2020-6-28,20:18,anohana,
party table,6,1000,2021-5-21,23:13,mymelo,
jelly,10,400,2025-12-10,00:44,mymelo,
gollem's sweat,5,1500,2025-7-20,20:41,mymelo,
party table,3,1000,2022-9-2,08:39,kuromi,
mushrom,4,3200,2020-1-2,14:34,legend,
gollem's sweat,1,1500,2024-7-11,16:41,anohana,
gollem's sweat,5,1500,2021-1-2,11:33,mymelo,
mushrom,2,3200,2020-8-11,06:38,legend,
mushrom,2,3200,2022-12-18,22:19,mymelo,
sord,8,4000,2023-5-20,08:31,legend,
party table,8,1000,2025-2-1,20:13,legend,
mushrom,5,3200,2024-1-23,00:14,legend,
mushrom,2,3200,2025-12-12,09:23,legend,
party table,7,1000,2024-5-12,06:17,legend,
mushrom,6,3200,2025-12-30,16:08,legend,
mushrom,7,3200,2025-12-13,04:21,mymelo,
mushrom,7,3200,2024-1-2,02:24,kuromi,
mushrom,6,3200,2020-12-28,01:31,legend,
mushrom,3,3200,2025-1-13,22:04,mymelo,
sord,6,4000,2025-1-18,08:10,legend,
history,4,5000,2020-2-12,02:28,mymelo,
gollem,2,3000,2024-1-10,20:35,legend,
party table,1,1000,2025-5-10,01:19,mymelo,
mushrom,6,3200,2020-12-25,09:25,mymelo,
sord,2,4000,2022-12-8,01:19,legend,
mushrom,2,3200,2025-1-18,06:10,legend,
mushrom,1,3200,2024-12-30,06:31,legend,
mushrom,7,3200,2020-1-17,23:14,anohana,
history,5,5000,2020-1-31,04:59,legend,
sord,4,4000,2020-10-17,21:25,legend,
gollem,1,3000,2022-1-16,04:53,mymelo,
mushrom,10,3200,2020-1-5,16:59,mymelo,
party table,2,1000,2022-6-12,13:22,kuromi,
party table,6,1000,2023-6-30,09:44,legend,
mushrom,3,3200,2024-1-31,22:57,mymelo,
mushrom,9,3200,2020-12-16,02:21,legend,
courage,5,3000,2025-6-2,18:47,admin,
party table,7,1000,2020-10-12,16:47,admin,
jelly,9,400,2024-1-15,19:16,legend,
jelly,10,400,2020-9-15,01:59,legend,
mushrom,7,3200,2024-1-17,10:02,mymelo,
dinner,9,500,2023-12-2,04:13,legend,
history,1,5000,2020-12-12,21:43,legend,
mushrom,4,3200,2020-2-18,09:57,legend,
history,4,5000,2025-1-4,14:47,legend,
party table,5,1000,2024-6-2,04:26,anohana,
jelly,6,400,2025-1-28,10:33,mymelo,
mushrom,7,3200,2025-1-8,11:42,legend,
history,4,5000,2025-1-19,04:05,legend,
plant,1,300,2024-5-12,05:13,anohana,
party table,7,1000,2025-2-12,10:38,mymelo,
plant,5,300,2021-12-12,21:19,anohana,
gollem's sweat,9,1500,2020-12-12,06:16,anohana,
sord,8,4000,2025-12-17,03:48,admin,
mushrom,7,3200,2025-2-14,12:53,anohana,
mushrom,1,3200,2025-12-26,03:12,legend,
mushrom,6,3200,2025-12-30,08:19,admin,
history,2,5000,2025-12-10,04:26,legend,
mushrom,6,3200,2024-4-23,16:33,anohana,
dinner,3,500,2022-5-16,02:18,legend,
gollem's sweat,7,1500,2025-11-5,15:31,kuromi,
dinner,5,500,2020-5-3,04:05,kuromi,
jelly,6,400,2025-7-14,19:58,mymelo,
party table,5,1000,2025-6-12,18:16,legend,
